week_commencing,Betsi Cadwaladr University Health Board,Powys Teaching Health Board,Hywel Dda University Health Board,Swansea Bay University Health Board,Cwm Taf Morgannwg University Health Board,Aneurin Bevan University Health Board,Cardiff and Vale University Health Board,Velindre NHS Trust
01/04/2020,22.85714286,0,13.42857143,21.57142857,34,38.14285714,18.71428571,0.285714286
08/04/2020,22.42857143,0,15.85714286,21.71428571,24,23.85714286,24,0
15/04/2020,25.14285714,0,14.85714286,15.71428571,20.85714286,26.42857143,21,0
22/04/2020,27.57142857,0.333333333,12.28571429,17,20.57142857,25.28571429,22.57142857,0
29/04/2020,32.28571429,0,17.42857143,15.85714286,23.57142857,20,22,0
06/05/2020,32.71428571,0,11.28571429,13,24,15.71428571,23.14285714,0
13/05/2020,29.42857143,0.285714286,12.57142857,12.14285714,20.14285714,15.57142857,18,0
20/05/2020,21.57142857,0,14.42857143,11.14285714,22.28571429,12.28571429,19.85714286,0
27/05/2020,19.28571429,0.285714286,14,12.14285714,27,12.14285714,18.71428571,0.142857143
03/06/2020,23.85714286,0,12.57142857,9.571428571,20.42857143,13.28571429,16.42857143,0
10/06/2020,20.28571429,0.142857143,12.71428571,9.571428571,19.71428571,13.42857143,18.85714286,0.142857143
17/06/2020,19.57142857,0,11.28571429,5.857142857,19,11.42857143,16.85714286,0
24/06/2020,14.57142857,0,12.42857143,5.857142857,14.85714286,11.57142857,19.71428571,0
01/07/2020,14,0.142857143,11.28571429,6,12.85714286,9.428571429,11.14285714,0
08/07/2020,11.14285714,0,9.857142857,3.714285714,17.85714286,8.857142857,10.85714286,0
15/07/2020,9.857142857,0,7.285714286,4.142857143,10.28571429,9.142857143,9.285714286,0
22/07/2020,15.71428571,0,8.285714286,4.571428571,12.57142857,7.714285714,9.142857143,0
29/07/2020,16.28571429,0,4.571428571,3.714285714,8,8.714285714,12.14285714,0
05/08/2020,16.57142857,0,5.857142857,3.571428571,7.428571429,6.714285714,10.71428571,0
12/08/2020,12.57142857,0,5,2.857142857,6.285714286,9.714285714,11.71428571,0
19/08/2020,9.857142857,0,7.857142857,2.571428571,6.714285714,4.285714286,9.857142857,0
26/08/2020,20.14285714,0,9,2.857142857,5,7.714285714,13.14285714,0
02/09/2020,13,0,4.857142857,3.142857143,10.28571429,10.85714286,11.85714286,0
09/09/2020,12.42857143,0,7.285714286,2.428571429,14.28571429,9.714285714,10.57142857,0
16/09/2020,8.428571429,0,5,2.857142857,10.42857143,6.142857143,11.71428571,0
23/09/2020,6.285714286,0,8.428571429,4,24.42857143,15.14285714,14.42857143,0
30/09/2020,11.57142857,0,8.714285714,4.428571429,11.28571429,29.28571429,12.42857143,0
07/10/2020,17.57142857,0,6.857142857,6.857142857,12,28.71428571,11.85714286,0